Registration,Type,Serial Number,Operator,Status,Manufacture Date,Next Check Date
RA-12345,B737-800,12345,Aeroflot,Active,2015-05-12,2023-06-15
RA-23456,A320-214,23456,S7 Airlines,Active,2017-09-23,2023-07-22
RA-34567,SSJ-100,34567,Rossiya,Maintenance,2016-03-15,2023-08-05
RA-45678,B777-300ER,45678,Aeroflot,Active,2018-11-30,2023-09-18
RA-56789,A321-211,56789,Ural Airlines,Inactive,2014-07-14,2023-10-07
RA-67890,B737-500,67890,UTair,Active,2008-12-05,2023-05-29
RA-78901,A319-112,78901,Rossiya,Active,2012-08-17,2023-06-22
RA-89012,SSJ-100,89012,Azimuth,Maintenance,2019-05-28,2023-08-11
RA-90123,B737-800,90123,S7 Airlines,Active,2017-02-09,2023-09-29
RA-01234,A320-214,01234,Aeroflot,Active,2016-10-21,2023-07-14 
